Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTimeSec
0 days 00:28:57.467000,GAS,10,0 days 00:01:47.959000,7.0,1.0,,0 days 00:28:55.692000,0 days 00:00:34.710000,0 days 00:00:44.756000,0 days 00:00:28.493000,0 days 00:27:44.218000,0 days 00:28:28.974000,0 days 00:28:57.467000,212.0,233.0,,305.0,False,MEDIUM,7.0,True,AlphaTauri,0 days 00:27:09.508000,2022-03-18 15:12:09.540,1,,False,,False,False,107.959
0 days 00:43:01.517000,GAS,10,0 days 00:01:33.621000,9.0,2.0,,,0 days 00:00:29.655000,0 days 00:00:40.323000,0 days 00:00:23.643000,0 days 00:41:57.551000,0 days 00:42:37.874000,0 days 00:43:01.517000,235.0,264.0,281.0,313.0,True,SOFT,2.0,True,AlphaTauri,0 days 00:41:27.896000,2022-03-18 15:26:27.928,1,,False,,False,True,93.621
0 days 00:45:21.426000,GAS,10,0 days 00:02:19.909000,10.0,2.0,,,0 days 00:00:42.280000,0 days 00:01:06.649000,0 days 00:00:30.980000,0 days 00:43:43.797000,0 days 00:44:50.446000,0 days 00:45:21.426000,115.0,185.0,281.0,286.0,False,SOFT,3.0,True,AlphaTauri,0 days 00:43:01.517000,2022-03-18 15:28:01.549,1,,False,,False,True,139.909
0 days 00:47:20.241000,GAS,10,0 days 00:01:58.815000,11.0,2.0,,,0 days 00:00:30.116000,0 days 00:01:01.631000,0 days 00:00:27.068000,0 days 00:45:51.542000,0 days 00:46:53.173000,0 days 00:47:20.241000,229.0,188.0,284.0,311.0,False,SOFT,4.0,True,AlphaTauri,0 days 00:45:21.426000,2022-03-18 15:30:21.458,1,,False,,False,True,118.815
0 days 00:48:54.050000,GAS,10,0 days 00:01:33.809000,12.0,2.0,,,0 days 00:00:29.782000,0 days 00:00:40.412000,0 days 00:00:23.615000,0 days 00:47:50.023000,0 days 00:48:30.435000,0 days 00:48:54.050000,234.0,264.0,282.0,313.0,False,SOFT,5.0,True,AlphaTauri,0 days 00:47:20.241000,2022-03-18 15:32:20.273,1,,False,,False,True,93.809
0 days 00:50:37.974000,GAS,10,0 days 00:01:43.924000,13.0,2.0,,0 days 00:50:36.215000,0 days 00:00:32.079000,0 days 00:00:43.959000,0 days 00:00:27.886000,0 days 00:49:26.129000,0 days 00:50:10.088000,0 days 00:50:37.974000,216.0,230.0,,302.0,False,SOFT,6.0,True,AlphaTauri,0 days 00:48:54.050000,2022-03-18 15:33:54.082,1,,False,,False,False,103.924
0 days 01:01:27.207000,GAS,10,0 days 00:01:38.495000,15.0,3.0,,,0 days 00:00:31.397000,0 days 00:00:42.648000,0 days 00:00:24.450000,0 days 01:00:20.109000,0 days 01:01:02.757000,0 days 01:01:27.207000,226.0,250.0,268.0,288.0,False,SOFT,8.0,False,AlphaTauri,0 days 00:59:48.712000,2022-03-18 15:44:48.744,1,,False,,False,True,98.495
0 days 01:03:05.912000,GAS,10,0 days 00:01:38.705000,16.0,3.0,,,0 days 00:00:31.521000,0 days 00:00:42.626000,0 days 00:00:24.558000,0 days 01:01:58.728000,0 days 01:02:41.354000,0 days 01:03:05.912000,223.0,250.0,268.0,283.0,False,SOFT,9.0,False,AlphaTauri,0 days 01:01:27.207000,2022-03-18 15:46:27.239,1,,False,,False,True,98.705
0 days 01:04:44.606000,GAS,10,0 days 00:01:38.694000,17.0,3.0,,,0 days 00:00:31.527000,0 days 00:00:42.526000,0 days 00:00:24.641000,0 days 01:03:37.439000,0 days 01:04:19.965000,0 days 01:04:44.606000,223.0,251.0,268.0,283.0,False,SOFT,10.0,False,AlphaTauri,0 days 01:03:05.912000,2022-03-18 15:48:05.944,1,,False,,False,True,98.694
0 days 01:06:24.138000,GAS,10,0 days 00:01:39.532000,18.0,3.0,,,0 days 00:00:31.657000,0 days 00:00:43.177000,0 days 00:00:24.698000,0 days 01:05:16.263000,0 days 01:05:59.440000,0 days 01:06:24.138000,223.0,238.0,269.0,283.0,False,SOFT,11.0,False,AlphaTauri,0 days 01:04:44.606000,2022-03-18 15:49:44.638,1,,False,,False,True,99.532
