Strategy,PitLaps,RaceTime
MEDIUM-HARD-SOFT,"[16, 31]",5647.180896969697
HARD-SOFT-MEDIUM,"[15, 41]",5647.180896969698
MEDIUM-SOFT-HARD,"[12, 42]",5647.211272727272
MEDIUM-HARD-SOFT,"[12, 27]",5647.211272727273
HARD-MEDIUM-SOFT,"[15, 27]",5647.211272727273
SOFT-HARD,[39],5647.222054545454
HARD-SOFT,[18],5647.222054545456
MEDIUM-SOFT-HARD,"[10, 40]",5647.229860606059
MEDIUM-HARD-SOFT,"[10, 27]",5647.22986060606
HARD-MEDIUM-SOFT,"[17, 27]",5647.229860606062
SOFT-MEDIUM-HARD,"[21, 36]",5647.269254545454
SOFT-HARD-MEDIUM,"[21, 42]",5647.269254545454
MEDIUM-HARD-SOFT,"[15, 36]",5647.269254545454
MEDIUM-SOFT-HARD,"[15, 36]",5647.269254545454
HARD-SOFT-MEDIUM,"[21, 42]",5647.269254545456
HARD-MEDIUM-SOFT,"[21, 36]",5647.269254545456
SOFT-HARD-MEDIUM,"[21, 43]",5647.3436060606045
SOFT-MEDIUM-HARD,"[21, 35]",5647.343606060605
MEDIUM-SOFT-HARD,"[14, 35]",5647.343606060605
MEDIUM-HARD-SOFT,"[14, 36]",5647.343606060605
HARD-SOFT-MEDIUM,"[22, 43]",5647.343606060607
HARD-MEDIUM-SOFT,"[22, 36]",5647.343606060607
SOFT-HARD,[27],5647.35169090909
HARD-SOFT,[30],5647.351690909092
MEDIUM-SOFT-HARD,"[11, 34]",5647.3546181818165
SOFT-MEDIUM-HARD,"[23, 34]",5647.3546181818165
MEDIUM-HARD-SOFT,"[11, 34]",5647.354618181818
HARD-MEDIUM-SOFT,"[23, 34]",5647.354618181818
SOFT-MEDIUM-HARD,"[22, 34]",5647.403927272726
MEDIUM-SOFT-HARD,"[12, 34]",5647.403927272727
MEDIUM-HARD-SOFT,"[12, 35]",5647.403927272728
HARD-MEDIUM-SOFT,"[23, 35]",5647.403927272728
MEDIUM-SOFT-HARD,"[14, 43]",5647.43318181818
MEDIUM-HARD-SOFT,"[14, 28]",5647.433181818182
HARD-SOFT-MEDIUM,"[14, 43]",5647.433181818182
HARD-MEDIUM-SOFT,"[14, 28]",5647.433181818184
MEDIUM-HARD-SOFT,"[15, 29]",5647.471109090909
HARD-MEDIUM-SOFT,"[14, 29]",5647.471109090909
MEDIUM-SOFT-HARD,"[15, 43]",5647.471109090909
HARD-SOFT-MEDIUM,"[14, 42]",5647.4711090909095
SOFT-MEDIUM-HARD,"[21, 37]",5647.510896969696
SOFT-HARD-MEDIUM,"[21, 41]",5647.510896969696
MEDIUM-HARD-SOFT,"[16, 36]",5647.510896969696
MEDIUM-SOFT-HARD,"[16, 37]",5647.510896969696
HARD-MEDIUM-SOFT,"[20, 36]",5647.510896969698
HARD-SOFT-MEDIUM,"[20, 41]",5647.5108969696985
MEDIUM-SOFT-HARD,"[17, 40]",5647.521909090909
SOFT-HARD-MEDIUM,"[23, 40]",5647.521909090909
MEDIUM-HARD-SOFT,"[17, 34]",5647.521909090909
SOFT-MEDIUM-HARD,"[23, 40]",5647.521909090909
HARD-MEDIUM-SOFT,"[17, 34]",5647.52190909091
HARD-SOFT-MEDIUM,"[17, 40]",5647.52190909091
SOFT-MEDIUM-HARD,"[24, 34]",5647.586024242422
MEDIUM-SOFT-HARD,"[10, 34]",5647.586024242422
SOFT-MEDIUM-HARD,"[24, 41]",5647.586024242423
SOFT-HARD-MEDIUM,"[24, 40]",5647.586024242423
