Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTimeSec
0 days 01:09:24.252000,PER,11,0 days 00:01:38.018000,15.0,2,,,0 days 00:00:31.485000,0 days 00:00:42.095000,0 days 00:00:24.438000,0 days 01:08:17.719000,0 days 01:08:59.814000,0 days 01:09:24.252000,222.0,253.0,268.0,289.0,False,SOFT,11.0,False,Red Bull Racing,0 days 01:07:46.234000,2022-03-18 15:52:46.266,1,,False,,False,True,98.018
0 days 01:11:02.617000,PER,11,0 days 00:01:38.365000,16.0,2,,,0 days 00:00:31.559000,0 days 00:00:42.438000,0 days 00:00:24.368000,0 days 01:09:55.811000,0 days 01:10:38.249000,0 days 01:11:02.617000,220.0,255.0,268.0,289.0,False,SOFT,12.0,False,Red Bull Racing,0 days 01:09:24.252000,2022-03-18 15:54:24.284,1,,False,,False,True,98.365
0 days 01:12:40.937000,PER,11,0 days 00:01:38.320000,17.0,2,,,0 days 00:00:31.500000,0 days 00:00:42.346000,0 days 00:00:24.474000,0 days 01:11:34.117000,0 days 01:12:16.463000,0 days 01:12:40.937000,220.0,256.0,269.0,289.0,False,SOFT,13.0,False,Red Bull Racing,0 days 01:11:02.617000,2022-03-18 15:56:02.649,1,,False,,False,True,98.32
0 days 01:14:21.218000,PER,11,0 days 00:01:40.281000,18.0,2,,,0 days 00:00:31.478000,0 days 00:00:42.653000,0 days 00:00:26.150000,0 days 01:13:12.415000,0 days 01:13:55.068000,0 days 01:14:21.218000,222.0,246.0,272.0,290.0,False,SOFT,14.0,False,Red Bull Racing,0 days 01:12:40.937000,2022-03-18 15:57:40.969,1,,False,,False,True,100.281
0 days 01:15:59.628000,PER,11,0 days 00:01:38.410000,19.0,2,,,0 days 00:00:31.515000,0 days 00:00:42.500000,0 days 00:00:24.395000,0 days 01:14:52.733000,0 days 01:15:35.233000,0 days 01:15:59.628000,227.0,256.0,281.0,289.0,False,SOFT,15.0,False,Red Bull Racing,0 days 01:14:21.218000,2022-03-18 15:59:21.250,1,,False,,False,True,98.41
0 days 00:42:19.298000,LEC,16,0 days 00:01:32.263000,8.0,2,,,0 days 00:00:29.542000,0 days 00:00:39.445000,0 days 00:00:23.276000,0 days 00:41:16.577000,0 days 00:41:56.022000,0 days 00:42:19.298000,237.0,267.0,283.0,311.0,True,SOFT,2.0,True,Ferrari,0 days 00:40:47.035000,2022-03-18 15:25:47.067,1,,False,,False,True,92.263
0 days 00:48:27.750000,LEC,16,0 days 00:01:32.023000,11.0,2,,,0 days 00:00:29.454000,0 days 00:00:39.482000,0 days 00:00:23.087000,0 days 00:47:25.181000,0 days 00:48:04.663000,0 days 00:48:27.750000,238.0,268.0,284.0,311.0,True,SOFT,5.0,False,Ferrari,0 days 00:46:55.727000,2022-03-18 15:31:55.759,1,,False,,False,True,92.023
0 days 01:02:27.534000,LEC,16,0 days 00:01:41,14.0,2,,,0 days 00:00:31.051000,0 days 00:00:45.147000,0 days 00:00:24.802000,0 days 01:01:17.585000,0 days 01:02:02.732000,0 days 01:02:27.534000,221.0,225.0,281.0,310.0,False,SOFT,2.0,True,Ferrari,0 days 01:00:46.534000,2022-03-18 15:45:46.566,1,,False,,False,True,101.0
0 days 01:13:44.788000,LEC,16,0 days 00:01:37.169000,17.0,2,,,0 days 00:00:31.230000,0 days 00:00:41.807000,0 days 00:00:24.132000,0 days 01:12:38.849000,0 days 01:13:20.656000,0 days 01:13:44.788000,227.0,251.0,269.0,285.0,False,SOFT,8.0,False,Ferrari,0 days 01:12:07.619000,2022-03-18 15:57:07.651,1,,False,,False,True,97.169
0 days 01:15:22.618000,LEC,16,0 days 00:01:37.830000,18.0,2,,,0 days 00:00:31.297000,0 days 00:00:42.009000,0 days 00:00:24.524000,0 days 01:14:16.085000,0 days 01:14:58.094000,0 days 01:15:22.618000,230.0,258.0,267.0,289.0,False,SOFT,9.0,False,Ferrari,0 days 01:13:44.788000,2022-03-18 15:58:44.820,1,,False,,False,True,97.83
0 days 01:00:06.347000,STR,18,0 days 00:01:39.005000,14.0,2,,,0 days 00:00:31.692000,0 days 00:00:42.823000,0 days 00:00:24.490000,0 days 00:58:59.034000,0 days 00:59:41.857000,0 days 01:00:06.347000,226.0,251.0,265.0,280.0,False,SOFT,8.0,False,Aston Martin,0 days 00:58:27.342000,2022-03-18 15:43:27.374,1,,False,,False,True,99.005
0 days 01:01:45.129000,STR,18,0 days 00:01:38.782000,15.0,2,,,0 days 00:00:31.682000,0 days 00:00:42.547000,0 days 00:00:24.553000,0 days 01:00:38.029000,0 days 01:01:20.576000,0 days 01:01:45.129000,229.0,247.0,266.0,281.0,False,SOFT,9.0,False,Aston Martin,0 days 01:00:06.347000,2022-03-18 15:45:06.379,1,,False,,False,True,98.782
